TQRMNORSQHKMKUCDEIGED00791045;2023;4;2;1;43;N;30;107;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;1;1;2;2;2;2;3;1;2;850000;10;10;10;;10;9;283333,33;9;9;9;;9;7;128;1;0;98;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNOPVSHJMLNCDEIGED00801502;2023;4;1;1;43;N;30;137;1;;3;1;;1;2;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;2;0;2;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;2;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNORTYHMLKPCDEHJGH00810920;2023;4;1;1;40;S;23;356;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;2;2;0;2;0;4;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;2;2;770000;9;9;10;9;;10;192500;7;7;9;7;;8;329;2;0;1;0;0;0;Nuclear;No aplica;Alto;Buena
TQRMNOQTWHKLKQCDEHJGH00790284;2023;4;2;1;40;S;23;299;1;;6;1;;3;1;1;1;;1;1;1;1;2;2;2;6;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;1;2;100000;1;1;1;1;;1;33333,33;1;1;1;1;;1;320;1;0;2;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNORQVHLLKRCDEHJGH00853836;2023;4;1;1;40;S;23;221;1;;5;1;;2;1;1;1;;1;1;1;1;2;2;2;5;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;2;0;2;300000;5;5;6;5;;5;150000;6;6;8;6;;8;193;1;0;96;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNOSSXHMMKQCDEHJGH00810921;2023;4;1;1;40;S;23;446;1;;5;1;;2;1;1;1;;1;1;1;1;2;2;2;5;3;2;0;2;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;30000;1;1;1;1;;1;15000;1;1;1;1;;1;477;1;0;98;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNOPVYHJNKOCDEHJGH00796030;2023;4;1;1;40;S;23;264;1;;5;2;;2;1;1;1;;1;1;1;1;2;2;2;5;3;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;4;0;4;950000;10;10;10;10;;10;237500;8;8;9;8;;9;300;1;2;98;0;0;0;Nuclear;Material durable;Alto;Saludable
TQRMNORQWHJNKOCDEHJGH00795255;2023;4;1;1;40;S;23;360;1;;3;2;;4;2;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;4;2;2;560000;8;8;9;8;;9;140000;6;6;7;6;;7;478;1;2;98;0;0;0;Nuclear;Material durable;Alto;Saludable
TQSMNOQYTHMMKRCDEHJGH00853837;2023;4;1;1;40;S;23;317;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;6;;4;ELECTRICA;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;350000;5;6;6;5;;6;175000;7;7;8;7;;8;297;1;2;98;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNORSRHJMLNCDEHJGH00795179;2023;4;1;1;40;S;23;218;1;;3;1;;2;1;1;1;;1;1;1;1;1;2;2;3;1;2;0;2;1;2;2;0;2;0;1;;1;;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;126000;1;2;2;1;;2;126000;5;5;7;5;;7;345;97;0;97;0;0;0;Unipersonal;Material durable;Medio;Buena
TQRMNOPRYHLMLQCDEHJGH00853838;2023;4;1;1;40;S;23;283;1;;4;1;;3;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;0;12;12;12;12;;12;0;12;12;12;12;;12;0;2;3;4;5;0;0;Extendido;Material durable;Alto;Buena
TQRMNOPSQHLMLQCDEHJGH00853839;2023;4;1;1;40;S;23;348;1;;4;1;;3;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;12;12;12;12;;12;0;12;12;12;12;;12;0;1;0;98;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNOQVSHMOLPCDEHLEH00811112;2023;4;1;1;40;N;25;139;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;4;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;0;9;420000;7;7;8;;7;8;46666,67;1;1;2;;1;1;233;2;0;98;0;0;0;Extendido;Material durable;Alto;Buena
